rec_id,noise_rec,snr_target_db,fs_target,snr_in_db,snr_out_db,snr_improve_db,rmse,nrmse_std,prd_percent,z_snr_out_db,z_snr_improve_db,z_rmse,z_nrmse_std,z_prd_percent,zref_offset,n_samples_eval
109,bw,10,250.0,9.999999999744047,2.223410454217464,-7.7765895455265825,0.3070867070762982,0.7741577704434787,77.41577704454077,2.22341046166909,-7.776589538074957,0.3070867066538678,0.7741577697793287,77.41577697812575,-0.3798524737358093,7500
109,bw,15,250.0,14.99999999914724,2.320812131264832,-12.679187867882408,0.30366233948138466,0.7655250269174019,76.55250269193095,2.3208121354115314,-12.67918786373571,0.30366233917920643,0.7655250265519353,76.55250265538426,-0.3798524737358093,7500
111,bw,0,250.0,-9.065546080415414e-11,4.100517155096092,4.100517155186748,0.12353136090178819,0.6236976995913962,62.36976995945088,4.100517147779742,4.100517147870398,0.123531359388827,0.623697700116753,62.369770011986574,-0.22647585719823837,7500
111,bw,5,250.0,4.9999999996699644,4.082392213191896,-0.9176077864780687,0.1237894042952333,0.6250005353224332,62.50005353255524,4.0823922151070375,-0.9176077845629269,0.12378940264754648,0.6250005351846275,62.50005351877468,-0.22647585719823837,7500
111,bw,10,250.0,9.999999998912974,4.088533561132443,-5.911466437780532,0.12370191007909946,0.6245587856247704,62.45587856278873,4.088533562901343,-5.911466436011631,0.12370190843465995,0.6245587854975776,62.455878550069485,-0.22647585719823837,7500
111,bw,15,250.0,14.999999996519165,4.0471359845408585,-10.952864011978306,0.12429288951270569,0.6275425826990945,62.75425827022263,4.047135991759321,-10.952864004759844,0.1242928877824281,0.6275425821775714,62.75425821807034,-0.22647585719823837,7500
112,bw,0,250.0,-9.60151928633725e-11,3.1928948685399794,3.1928948686359946,0.133933769929977,0.692397126031631,69.23971260351694,3.1928948733722464,3.1928948734682616,0.13393376990376102,0.6923971256464261,69.23971256499645,-0.8594197928905487,7500
112,bw,5,250.0,4.999999999653012,3.3212466057050087,-1.678753393948003,0.131969176463677,0.6822407713602302,68.22407713637168,3.3212466413365775,-1.6787533583164342,0.131969175969896,0.6822407685615177,68.22407685650042,-0.8594197928905487,7500
112,bw,10,250.0,9.999999998859368,3.3485182324446416,-6.651481766414726,0.13155547445315152,0.680102056954811,68.01020569582865,3.3485182420768833,-6.651481756782484,0.1315554743547012,0.6801020562006098,68.01020562040856,-0.8594197928905487,7500
112,bw,15,250.0,14.999999996349642,3.3656048776173404,-11.634395118732302,0.13129693648999313,0.6787654937956127,67.87654937990813,3.365604873474524,-11.634395122875118,0.1312969365999617,0.6787654941193563,67.87654941228251,-0.8594197928905487,7500
113,bw,0,250.0,-4.2198969936392344e-12,3.1128718115123544,3.112871811516574,0.2955948160154784,0.6988056527800459,69.8805652781679,3.1128718042547514,3.112871804258971,0.295594816569594,0.6988056533639417,69.88056533655745,-0.3306433856487274,7500
113,bw,5,250.0,4.999999999943298,3.177679216199558,-1.8223207837437396,0.29339752308475886,0.6936111072819272,69.3611107283548,3.177679211313916,-1.8223207886293817,0.29339752355463383,0.6936111076720697,69.36111076736904,-0.3306433856487274,7500
113,bw,10,250.0,9.999999999777334,3.227061209282842,-6.772938790494491,0.2917341993468298,0.689678900194753,68.96789001963646,3.2270612030990344,-6.772938796678299,0.29173419985764276,0.6896789006857611,68.96789006873725,-0.3306433856487274,7500
113,bw,15,250.0,14.999999999252509,3.2409823614051234,-11.759017637847386,0.29126700214456386,0.6885744151760124,68.85744151776215,3.2409823589421585,-11.75901764031035,0.29126700252978643,0.6885744153712642,68.85744153728729,-0.3306433856487274,7500
114,bw,0,250.0,-3.182680835641087e-10,2.330999891846657,2.330999892164925,0.08663198145495989,0.7646276618226261,76.4627661829297,2.3309999175602907,2.3309999178785588,0.08663198208455813,0.7646276595590288,76.46276595656995,-0.19742323458194733,7500
114,bw,5,250.0,4.999999998950191,2.3764013300124995,-2.6235986689376913,0.08618033458025792,0.760641354595515,76.06413546021511,2.3764013581849057,-2.623598640765285,0.08618033518217819,0.760641352128399,76.0641352135035,-0.19742323458194733,7500
