Record,Target_SNR,Method,Input_SNR,Output_SNR,SNR_Imp,RMSE
103,5,our_algorithm,5.000000000018731,4.681545950089085,-0.3184540499296462,35.93129419941445
103,10,wt_only,10.000000000018726,9.94876867266653,-0.05123132735219649,19.593486594012983
103,10,improved_dae,10.000000000018726,7.359342757931579,-2.6406572420871477,26.398729128171407
103,10,our_algorithm,10.000000000018726,4.6679839078910526,-5.332016092127674,35.98744070599598
103,15,wt_only,15.00000000001873,14.839300953761148,-0.1606990462575819,11.157967960842113
103,15,improved_dae,15.00000000001873,9.330371696069783,-5.669628303948947,21.039313886241576
103,15,our_algorithm,15.00000000001873,4.66004034789823,-10.3399596521205,36.02036757526336
105,0,wt_only,1.8729168055357557e-11,-0.004032031080599108,-0.004032031099328277,60.30416475873924
105,0,improved_dae,1.8729168055357557e-11,-0.10598403555016653,-0.1059840355688957,61.016164870329824
105,0,our_algorithm,1.8729168055357557e-11,3.194797827577622,3.194797827558893,41.7259096871331
105,5,wt_only,5.000000000018728,4.9807435938315665,-0.019256406187161623,33.971015181190715
105,5,improved_dae,5.000000000018728,4.502002063811391,-0.49799793620733723,35.89596242453444
105,5,our_algorithm,5.000000000018728,2.925501274661109,-2.074498725357619,43.03983932518653
105,10,wt_only,10.00000000001873,9.930867276139287,-0.06913272387944325,19.21331669332446
105,10,improved_dae,10.00000000001873,8.453993159183824,-1.546006840834906,22.774352961138877
105,10,our_algorithm,10.00000000001873,3.175434514454384,-6.824565485564346,41.819032341795854
105,15,wt_only,15.00000000001873,14.781434567699527,-0.21856543231920256,10.991930574874676
105,15,improved_dae,15.00000000001873,11.214489082181494,-3.785510917837236,16.573767836159046
105,15,our_algorithm,15.00000000001873,3.1718464066014365,-11.828153593417294,41.83631119308902
106,0,wt_only,1.8730132382824104e-11,-0.0067020371961152795,-0.0067020372148454115,77.22748498050275
106,0,improved_dae,1.8730132382824104e-11,-0.24306729602616597,-0.2430672960448961,79.3578977680036
106,0,our_algorithm,1.8730132382824104e-11,3.101345930450619,3.1013459304318887,53.996982793152554
106,5,wt_only,5.00000000001873,4.972167761114323,-0.02783223890440656,43.533982841644324
106,5,improved_dae,5.00000000001873,4.085588490661399,-0.9144115093573308,48.21224615782743
106,5,our_algorithm,5.00000000001873,3.1083229504574206,-1.8916770495613093,53.95362664009
106,10,wt_only,10.000000000018726,9.90832261684664,-0.09167738317208673,24.661566471285948
106,10,improved_dae,10.000000000018726,7.45215288055666,-2.547847119462066,32.72119422906894
106,10,our_algorithm,10.000000000018726,3.107415362405731,-6.892584637612996,53.959264545627335
106,15,wt_only,15.000000000018725,14.713555658310217,-0.2864443417085081,14.182702949896886
106,15,improved_dae,15.000000000018725,9.461708314384175,-5.538291685634549,25.96279080852245
106,15,our_algorithm,15.000000000018725,3.102779981449202,-11.897220018569524,53.98806856117243
107,0,wt_only,1.8728203727891008e-11,0.0006450284139017238,0.0006450283951735201,172.54780553497818
107,0,improved_dae,1.8728203727891008e-11,-0.3138967522200898,-0.31389675223881797,178.91078832785405
107,0,our_algorithm,1.8728203727891008e-11,-0.03836696733915571,-0.03836696735788392,173.32453354457584
107,5,wt_only,5.000000000018728,4.993757109368068,-0.006242890650660193,97.10773762984046
107,5,improved_dae,5.000000000018728,3.8272952642908336,-1.1727047357278946,111.06492521350897
107,5,our_algorithm,5.000000000018728,0.020975707125066575,-4.979024292893661,172.14440279591713
107,10,wt_only,10.00000000001873,9.97320283181063,-0.026797168208100075,54.7370704562405
107,10,improved_dae,10.00000000001873,6.881650881603755,-3.118349118414975,78.137434461199
107,10,our_algorithm,10.00000000001873,0.03738478680364577,-9.962615213215084,171.8195005893638
107,15,wt_only,15.000000000018726,14.907613672013373,-0.09238632800535385,31.014230346394545
