rec_id,noise_rec,snr_target_db,fs_target,snr_in_db,snr_out_db,snr_improve_db,rmse,nrmse_std,prd_percent,n_samples_eval
106,bw,5,250.0,4.999999999929505,5.819243200114056,0.8192432001845509,0.19929213309375426,0.5117264202143182,51.1726420215617,7500
106,bw,10,250.0,9.999999999733713,5.833417063256091,-4.166582936477623,0.19896718814873038,0.5108920525405798,51.08920525418763,7500
106,bw,15,250.0,14.999999999114571,5.858060359451213,-9.14193963966336,0.19840348557758056,0.5094446221060608,50.94446221073536,7500
107,bw,0,250.0,1.4089788613787223e-11,1.8903187991123318,1.890318799098242,0.6865615482572329,0.8044222232158361,80.44222232167678,7500
107,bw,5,250.0,5.0000000000012,1.91144513313773,-3.08855486686347,0.6848936818546077,0.8024680374577895,80.2468037458719,7500
107,bw,10,250.0,9.999999999960432,1.9349557418630363,-8.065044258097394,0.683042346503341,0.800298886996386,80.02988869973127,7500
107,bw,15,250.0,14.999999999831516,1.9418275749546068,-13.05817242487691,0.6825021719264502,0.7996659817089138,79.96659817098399,7500
108,bw,0,250.0,-1.5691440103291905e-10,1.4861230452535201,1.4861230454104346,0.13201996957619325,0.8427404654459967,84.27404654513143,7500
108,bw,5,250.0,4.999999999460433,1.6344307438453156,-3.3655692556151178,0.12978492288502116,0.8284731974345099,82.84731974397373,7500
108,bw,10,250.0,9.99999999825038,1.7961187933321936,-8.203881204918186,0.12739132094782749,0.8131938028314164,81.31938028365474,7500
108,bw,15,250.0,14.999999994423858,1.756300130713606,-13.243699863710251,0.12797666074160757,0.8169302794556562,81.69302794608107,7500
109,bw,0,250.0,-7.549719735652247e-12,2.60764105727678,2.6076410572843294,0.2937984412481069,0.7406583905955033,74.0658390597349,7500
109,bw,5,250.0,4.999999999932771,2.3581010773364977,-2.6418989225962735,0.3023614965984775,0.7622456351276476,76.22456351295469,7500
109,bw,10,250.0,9.999999999744047,2.223410454217464,-7.7765895455265825,0.3070867070762982,0.7741577704434787,77.41577704454077,7500
109,bw,15,250.0,14.99999999914724,2.320812131264832,-12.679187867882408,0.30366233948138466,0.7655250269174019,76.55250269193095,7500
111,bw,0,250.0,-9.065546080415414e-11,4.100517155096092,4.100517155186748,0.12353136090178819,0.6236976995913962,62.36976995945088,7500
111,bw,5,250.0,4.9999999996699644,4.082392213191896,-0.9176077864780687,0.1237894042952333,0.6250005353224332,62.50005353255524,7500
111,bw,10,250.0,9.999999998912974,4.088533561132443,-5.911466437780532,0.12370191007909946,0.6245587856247704,62.45587856278873,7500
111,bw,15,250.0,14.999999996519165,4.0471359845408585,-10.952864011978306,0.12429288951270569,0.6275425826990945,62.75425827022263,7500
